age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,admin.,married,secondary,no,215,yes,yes,cellular,16,apr,409,2,-1,0,unknown,no
36,technician,married,primary,no,4201,yes,yes,unknown,3,jul,33,4,-1,0,other,no
46,admin.,single,tertiary,no,-357,yes,no,telephone,15,may,166,1,-1,0,unknown,yes
37,management,married,secondary,no,-86,yes,no,cellular,18,jul,35,1,-1,0,unknown,no
40,blue-collar,married,secondary,yes,11526,yes,no,telephone,18,jan,303,4,126,1,unknown,no
21,retired,married,tertiary,no,-290,yes,no,cellular,13,apr,565,2,-1,0,other,no
37,management,divorced,tertiary,no,-128,yes,no,cellular,10,aug,485,6,126,0,failure,no
49,admin.,married,secondary,no,1887,yes,no,unknown,24,jul,143,1,-1,1,failure,no
51,technician,married,tertiary,no,-124,no,yes,unknown,2,aug,58,1,-1,1,unknown,no
23,technician,single,primary,no,247,yes,no,unknown,14,nov,47,1,-1,0,failure,yes
31,admin.,single,tertiary,no,337,yes,no,unknown,15,may,1,1,-1,0,failure,no
29,admin.,married,tertiary,no,-1050,yes,no,cellular,12,nov,12,2,-1,0,unknown,no
42,retired,married,tertiary,no,-142,yes,yes,unknown,19,aug,1,1,-1,0,unknown,yes
37,technician,married,secondary,no,9530,yes,no,unknown,12,mar,1,2,0,0,unknown,no
52,unknown,married,secondary,no,2263,yes,no,unknown,5,may,369,3,-1,30,unknown,yes
37,housemaid,married,secondary,no,-208,yes,no,cellular,30,aug,191,3,4,0,unknown,no
59,technician,married,primary,yes,-453,no,no,unknown,5,feb,144,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,6530,yes,no,cellular,30,nov,159,2,-1,3,unknown,no
42,admin.,married,secondary,no,27696,yes,yes,cellular,11,jan,82,1,-1,0,failure,yes
65,technician,married,unknown,no,7912,yes,no,unknown,4,nov,1,2,0,0,unknown,no
25,entrepreneur,married,tertiary,no,-579,yes,no,cellular,1,may,1,2,-1,0,failure,no
35,management,married,unknown,no,346,no,no,cellular,14,apr,1,2,3,0,unknown,no
18,blue-collar,married,secondary,no,121,yes,no,unknown,16,jul,63,2,-1,0,failure,no
21,technician,married,primary,no,-75,yes,no,unknown,12,aug,321,1,-1,1,unknown,no
28,management,married,secondary,no,-313,yes,no,cellular,17,oct,8,2,1,0,unknown,no
43,blue-collar,married,tertiary,no,-347,yes,no,unknown,19,jul,447,1,-1,0,unknown,no
40,technician,single,tertiary,no,676,yes,no,cellular,19,jul,496,6,-1,0,unknown,no
50,services,married,tertiary,no,127,yes,no,cellular,23,jan,1,3,2,0,success,no
28,blue-collar,married,tertiary,no,-83,no,no,cellular,6,jun,57,1,-1,0,unknown,no
26,student,married,secondary,no,-485,no,no,unknown,18,may,268,2,-1,0,unknown,yes
32,blue-collar,single,secondary,no,-7,yes,no,cellular,29,mar,247,1,-1,4,unknown,no
43,blue-collar,married,secondary,no,-360,no,yes,cellular,2,jul,54,2,-1,2,unknown,no
39,admin.,married,tertiary,no,451,no,yes,cellular,1,mar,68,1,-1,0,other,yes
35,technician,married,tertiary,no,-683,no,yes,unknown,18,may,1,2,2,0,unknown,no
52,management,divorced,secondary,no,-270,no,no,cellular,10,aug,146,1,-1,0,unknown,yes
32,management,married,tertiary,no,274,yes,no,unknown,17,apr,264,2,-1,2,failure,no
34,blue-collar,divorced,secondary,no,765,yes,no,unknown,12,nov,101,1,-1,0,unknown,no
40,management,single,primary,no,-1050,yes,no,cellular,1,jan,1,5,-1,0,unknown,no
59,technician,married,tertiary,no,474,no,no,cellular,16,aug,197,2,-1,0,unknown,no
30,admin.,married,tertiary,no,-177,yes,no,telephone,23,mar,93,1,-1,1,unknown,no
43,management,divorced,secondary,no,-301,yes,no,cellular,5,nov,1,1,-1,0,unknown,no
34,blue-collar,married,primary,no,2127,yes,no,cellular,12,jul,151,2,-1,0,other,no
40,admin.,married,secondary,no,-188,yes,no,unknown,9,nov,34,1,-1,0,unknown,yes
50,services,married,primary,no,19439,no,no,telephone,18,dec,1,1,5,4,failure,no
38,admin.,married,secondary,no,2313,yes,yes,cellular,13,apr,298,1,-1,0,unknown,no
29,student,married,tertiary,no,532,no,no,cellular,7,nov,1,3,1,0,unknown,yes
23,unemployed,divorced,secondary,no,231,no,no,cellular,17,may,252,3,-1,0,unknown,no
24,housemaid,married,tertiary,no,1606,yes,no,cellular,17,mar,316,1,-1,0,unknown,no
20,student,married,secondary,no,-1050,yes,no,telephone,2,aug,430,4,-1,1,unknown,yes
20,blue-collar,single,primary,no,-1050,no,no,cellular,26,jul,219,1,2,0,failure,no
40,blue-collar,married,primary,yes,507,yes,no,cellular,1,nov,174,2,-1,0,unknown,no
45,services,married,tertiary,no,344,no,no,telephone,1,jul,329,3,270,0,unknown,no
65,management,married,tertiary,no,42,no,yes,cellular,17,oct,193,4,-1,0,unknown,no
46,services,single,tertiary,no,29,yes,no,cellular,9,aug,53,3,2,0,failure,no
51,blue-collar,married,secondary,no,-1050,no,no,cellular,16,jun,1,2,3,1,unknown,no
47,technician,married,secondary,no,-207,yes,yes,cellular,12,may,47,1,4,0,unknown,no
46,management,married,secondary,no,-747,yes,yes,cellular,1,nov,51,2,-1,3,unknown,no
40,management,married,secondary,no,-475,no,no,cellular,6,sep,205,1,2,0,unknown,yes
30,self-employed,single,tertiary,no,-342,yes,no,unknown,1,jun,246,2,-1,0,success,no
28,services,single,primary,no,-507,yes,no,cellular,16,jul,9,5,-1,2,unknown,no
43,management,married,tertiary,no,506,yes,yes,telephone,2,apr,210,2,-1,1,other,no
26,blue-collar,married,tertiary,no,5689,yes,yes,cellular,29,may,155,2,-1,0,unknown,no
52,blue-collar,married,primary,no,-368,yes,no,cellular,15,may,14,1,-1,0,unknown,no
47,management,married,primary,no,4024,no,no,unknown,17,jul,47,1,3,0,unknown,no
58,blue-collar,single,secondary,no,-362,yes,no,cellular,1,nov,62,3,-1,0,unknown,no
23,blue-collar,divorced,secondary,no,-751,yes,no,cellular,22,sep,1,2,3,3,failure,no
47,student,single,primary,no,-562,no,no,cellular,7,jun,597,1,-1,0,success,yes
61,blue-collar,single,tertiary,no,14093,yes,yes,unknown,25,may,52,2,-1,0,unknown,no
18,admin.,single,tertiary,no,-322,yes,no,unknown,25,apr,116,1,-1,1,unknown,yes
43,admin.,single,secondary,no,129,yes,no,cellular,8,aug,69,5,-1,0,unknown,no
35,blue-collar,married,secondary,no,7616,no,no,cellular,21,jul,28,4,0,0,unknown,yes
35,admin.,married,primary,no,-11,yes,no,cellular,14,aug,42,4,-1,0,unknown,no
33,blue-collar,married,tertiary,no,78,yes,no,cellular,22,jan,45,1,4,0,unknown,no
18,retired,married,secondary,no,-1026,yes,no,cellular,16,jun,52,3,-1,0,unknown,no
30,self-employed,married,secondary,no,5663,yes,yes,telephone,25,jun,513,1,-1,0,unknown,no
49,services,married,tertiary,no,621,no,no,cellular,10,apr,221,2,8,2,failure,no
54,management,divorced,secondary,no,-1050,no,yes,cellular,10,jul,1,3,-1,0,unknown,no
20,management,single,secondary,no,-433,yes,no,cellular,25,jun,90,1,-1,0,unknown,no
51,management,single,secondary,no,11391,yes,no,unknown,25,jun,1,7,-1,0,unknown,no
26,self-employed,single,tertiary,no,-406,yes,no,telephone,25,mar,22,2,-1,0,unknown,no
29,technician,married,secondary,no,198,yes,no,cellular,5,jun,70,1,224,0,unknown,no
31,technician,married,secondary,no,-83,yes,no,cellular,15,may,258,2,373,0,unknown,no
64,unemployed,married,primary,no,-294,no,yes,unknown,6,mar,1,8,-1,0,unknown,no
42,management,married,tertiary,no,-306,no,no,unknown,5,may,245,2,-1,0,failure,no
48,blue-collar,married,primary,no,594,yes,no,unknown,30,jun,388,2,-1,0,success,no
40,management,divorced,tertiary,no,-352,yes,no,cellular,13,may,1,2,-1,0,success,yes
64,admin.,divorced,tertiary,no,-1050,yes,no,cellular,21,jun,342,2,-1,2,unknown,no
31,blue-collar,divorced,tertiary,no,6571,no,no,cellular,19,may,28,2,-1,0,unknown,yes
28,retired,married,primary,no,274,yes,no,cellular,2,jun,144,5,0,4,unknown,no
28,unknown,married,unknown,no,198,no,no,cellular,18,jul,271,2,-1,0,failure,no
44,management,married,primary,no,28,yes,no,cellular,6,jul,191,1,-1,0,unknown,no
38,management,married,tertiary,no,-18,yes,no,unknown,3,jun,699,2,4,0,unknown,no
56,unemployed,married,secondary,no,599,yes,no,cellular,20,aug,103,3,-1,0,unknown,no
23,management,married,secondary,no,533,yes,no,cellular,14,may,266,1,2,0,unknown,no
48,housemaid,married,primary,no,41,yes,no,cellular,15,may,71,1,-1,0,unknown,no
52,student,married,secondary,no,1330,yes,no,cellular,21,may,239,1,3,0,unknown,no
43,blue-collar,married,secondary,no,-736,yes,no,unknown,13,may,136,1,-1,0,unknown,no
40,unknown,married,secondary,yes,-27,yes,no,cellular,22,jul,1,2,4,0,unknown,no
42,blue-collar,married,secondary,no,-108,no,no,telephone,21,sep,72,1,-1,0,failure,no
52,blue-collar,married,secondary,no,-415,yes,no,unknown,24,jul,287,2,-1,0,unknown,no
41,admin.,single,tertiary,no,-253,yes,no,cellular,20,may,166,5,38,0,unknown,no
47,management,married,tertiary,no,123,yes,no,cellular,7,jan,18,2,-1,0,unknown,no
63,entrepreneur,married,tertiary,no,20,yes,yes,cellular,19,aug,118,1,-1,0,failure,no
41,self-employed,married,primary,no,8370,yes,yes,cellular,7,may,1,6,-1,0,success,no
21,blue-collar,married,secondary,no,-82,yes,no,unknown,16,nov,1,3,-1,0,unknown,no
57,unemployed,divorced,secondary,yes,-539,yes,yes,cellular,20,may,497,1,1,0,failure,yes
45,admin.,single,primary,no,61,no,yes,cellular,6,may,110,5,0,0,unknown,no
38,management,divorced,secondary,no,1855,yes,no,telephone,15,nov,250,2,-1,1,success,no
37,retired,single,tertiary,no,270,no,no,cellular,17,aug,1,2,-1,0,unknown,yes
18,technician,married,primary,no,-54,yes,no,cellular,3,nov,693,2,-1,0,unknown,yes
30,admin.,divorced,tertiary,no,-259,no,no,cellular,15,jul,602,1,-1,0,failure,no
46,technician,married,tertiary,no,-342,yes,no,cellular,17,may,32,2,-1,2,unknown,no
58,management,single,tertiary,no,-1050,yes,no,cellular,16,jun,169,4,0,0,unknown,no
58,management,married,secondary,no,778,yes,no,unknown,8,may,57,5,0,1,unknown,no
36,technician,married,tertiary,yes,-339,yes,yes,cellular,5,jul,77,2,-1,1,unknown,no
42,self-employed,single,secondary,no,-407,yes,yes,cellular,14,apr,563,2,4,0,unknown,no
42,admin.,married,secondary,no,1743,no,no,cellular,5,may,14,2,-1,0,unknown,no
59,technician,married,tertiary,no,4253,yes,no,cellular,25,jul,28,2,33,0,unknown,no
58,management,married,tertiary,no,2127,yes,no,telephone,12,apr,12,1,-1,0,unknown,no
24,technician,married,unknown,no,-258,no,no,cellular,5,may,152,2,-1,1,unknown,no
18,admin.,single,tertiary,no,-275,yes,no,cellular,13,apr,8,2,-1,0,unknown,no
44,unknown,divorced,primary,no,-342,yes,no,cellular,12,aug,182,2,-1,0,unknown,yes
60,services,single,secondary,no,-592,yes,no,cellular,5,jul,248,2,-1,1,unknown,no
40,unemployed,married,secondary,yes,-748,no,no,telephone,29,jan,143,3,-1,0,unknown,no
29,technician,single,tertiary,no,814,yes,no,cellular,11,nov,3,2,2,0,unknown,no
35,blue-collar,married,primary,no,5491,no,no,cellular,1,may,1,1,-1,0,unknown,no
30,housemaid,married,secondary,no,-606,yes,no,cellular,14,aug,175,4,-1,1,unknown,no
60,management,single,tertiary,no,654,no,no,cellular,12,jul,39,4,-1,0,unknown,no
31,student,married,tertiary,no,41,yes,no,cellular,15,feb,13,2,4,0,unknown,yes
52,technician,single,secondary,no,118,no,no,unknown,18,feb,1,5,2,0,unknown,no
30,management,married,tertiary,no,4271,yes,no,cellular,4,apr,508,5,-1,0,unknown,no
18,retired,married,secondary,no,-80,no,yes,unknown,5,jul,411,2,-1,0,failure,no
27,admin.,divorced,tertiary,no,12700,yes,no,cellular,15,jul,1,1,2,0,success,no
55,housemaid,married,tertiary,no,-342,yes,no,cellular,4,aug,298,1,-1,0,unknown,no
47,entrepreneur,married,tertiary,no,-33,no,no,unknown,8,jul,298,1,-1,0,failure,no
28,blue-collar,married,secondary,no,1614,yes,no,cellular,6,may,383,2,0,1,unknown,no
46,management,married,secondary,no,-69,yes,yes,unknown,5,jun,92,2,-1,0,unknown,yes
22,services,single,primary,no,4629,yes,no,unknown,9,apr,73,2,-1,0,unknown,no
46,retired,married,primary,no,-213,yes,no,cellular,15,may,18,2,-1,1,unknown,no
51,student,married,secondary,no,201,yes,no,cellular,28,aug,157,2,-1,0,success,yes
49,admin.,divorced,primary,no,-731,no,no,unknown,16,jul,1,1,4,0,unknown,no
38,technician,single,tertiary,no,665,no,no,cellular,13,apr,1,1,-1,0,failure,no
19,blue-collar,single,secondary,no,292,no,no,cellular,15,jul,312,1,-1,0,unknown,no
24,admin.,divorced,secondary,no,-1050,no,no,cellular,1,feb,66,1,-1,0,failure,no
32,technician,married,tertiary,no,1146,yes,no,cellular,11,apr,102,1,-1,0,unknown,no
42,blue-collar,divorced,secondary,no,11583,yes,yes,cellular,22,jan,59,2,-1,0,failure,no
18,blue-collar,married,tertiary,no,-262,no,no,cellular,6,aug,256,2,-1,0,unknown,no
20,management,single,secondary,no,518,no,no,unknown,9,aug,203,2,-1,0,failure,no
55,services,married,primary,no,10939,no,no,cellular,16,jun,1,1,6,2,unknown,no
29,services,divorced,secondary,no,-249,yes,no,unknown,11,may,1,2,152,0,unknown,no
28,blue-collar,single,tertiary,no,-1050,yes,no,unknown,17,jun,247,3,3,0,unknown,no
35,management,married,secondary,no,100,no,no,telephone,1,aug,282,3,29,0,unknown,no
62,services,married,secondary,no,-292,no,yes,cellular,11,may,366,2,4,2,unknown,yes
19,technician,married,primary,no,-317,yes,no,unknown,25,jun,188,2,-1,0,unknown,no
26,admin.,divorced,tertiary,no,-488,yes,yes,cellular,1,jul,34,5,-1,0,unknown,no
19,blue-collar,married,secondary,no,-119,yes,yes,cellular,16,jun,72,2,-1,0,unknown,yes
44,blue-collar,married,tertiary,no,-244,yes,no,cellular,20,jun,111,2,3,0,success,no
31,blue-collar,married,tertiary,no,-410,yes,no,cellular,1,jul,513,2,-1,0,failure,yes
37,services,married,secondary,no,647,yes,no,cellular,15,may,22,1,-1,0,unknown,no
24,blue-collar,married,tertiary,no,1463,yes,no,cellular,8,apr,1,2,4,0,unknown,no
49,management,single,secondary,no,1210,yes,no,cellular,11,sep,110,2,-1,0,success,no
28,blue-collar,single,tertiary,no,-602,yes,no,unknown,8,nov,170,1,-1,4,unknown,no
18,retired,married,primary,no,-385,no,no,cellular,14,aug,1,1,-1,1,unknown,no
33,admin.,single,secondary,no,326,yes,yes,cellular,13,jun,174,3,-1,0,failure,no
44,management,married,secondary,no,56,no,yes,unknown,11,may,72,5,-1,0,unknown,no
22,blue-collar,married,secondary,no,3800,no,yes,cellular,8,jan,8,2,-1,0,unknown,no
40,admin.,divorced,unknown,no,25,yes,no,cellular,22,nov,1,1,11,0,unknown,no
34,technician,married,tertiary,no,339,yes,no,cellular,5,jun,1,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,-514,no,no,cellular,25,aug,1,1,-1,0,unknown,no
64,blue-collar,married,secondary,no,540,no,yes,unknown,22,jun,104,2,0,0,unknown,no
27,management,married,tertiary,no,4255,yes,yes,cellular,4,apr,1,4,93,4,unknown,no
51,technician,married,secondary,no,6358,no,no,cellular,29,may,82,2,32,0,unknown,no
23,blue-collar,married,secondary,no,213,yes,no,cellular,9,may,52,1,-1,0,unknown,no
20,retired,divorced,primary,no,24,no,no,cellular,13,may,268,1,0,0,failure,no
52,technician,married,secondary,no,-307,no,no,cellular,15,nov,1,2,-1,0,unknown,no
43,services,married,primary,no,-405,no,no,unknown,13,jul,1,2,-1,0,unknown,no
52,unemployed,married,secondary,no,-950,yes,no,cellular,10,jul,384,4,-1,0,unknown,no
27,management,married,secondary,no,-432,yes,no,cellular,14,oct,77,2,8,0,unknown,no
18,admin.,married,tertiary,no,106,no,no,cellular,18,jun,218,1,-1,4,unknown,no
23,blue-collar,married,secondary,no,-398,yes,no,unknown,15,jul,263,2,-1,0,unknown,no
50,unknown,married,secondary,no,-447,yes,no,cellular,10,oct,187,1,-1,0,unknown,no
33,technician,married,tertiary,no,1752,yes,no,cellular,24,nov,1,2,0,0,unknown,no
25,blue-collar,married,primary,no,899,no,no,cellular,17,oct,142,1,-1,1,unknown,no
51,unknown,married,tertiary,no,6605,yes,no,cellular,28,nov,574,2,4,0,failure,no
33,management,married,tertiary,no,-1050,no,no,unknown,31,may,383,5,-1,0,unknown,no
48,admin.,married,secondary,no,369,yes,no,cellular,16,nov,79,2,-1,0,unknown,no
54,management,single,tertiary,no,507,no,no,unknown,2,nov,1,2,0,0,unknown,no
37,blue-collar,married,tertiary,no,-21,no,no,unknown,3,may,1,1,4,1,unknown,no
42,admin.,married,unknown,no,174,yes,yes,cellular,16,may,188,3,-1,0,unknown,no
63,entrepreneur,single,tertiary,no,469,no,no,unknown,24,oct,1,2,-1,0,unknown,no
26,blue-collar,married,secondary,no,-76,yes,no,cellular,30,jul,240,3,5,0,failure,no
42,blue-collar,divorced,tertiary,no,-306,yes,no,cellular,23,aug,112,2,2,0,unknown,no
45,blue-collar,divorced,primary,no,922,no,no,cellular,4,nov,1,2,-1,0,failure,no
63,management,single,secondary,no,-71,yes,no,cellular,8,dec,1,2,3,0,unknown,no
39,management,single,secondary,no,80,no,no,unknown,4,jul,24,2,-1,0,unknown,no
60,technician,married,unknown,no,-205,yes,yes,cellular,1,oct,119,2,-1,1,unknown,yes
25,management,married,tertiary,no,503,yes,no,cellular,12,jul,127,1,5,0,unknown,no
52,blue-collar,single,secondary,no,231,yes,no,cellular,15,nov,8,1,-1,1,unknown,no
45,blue-collar,married,primary,no,-309,no,no,cellular,12,may,71,1,-1,0,unknown,no
50,technician,divorced,secondary,no,-552,yes,yes,cellular,9,aug,113,2,-1,0,unknown,no
28,technician,single,primary,no,114,no,no,cellular,12,may,56,2,-1,0,unknown,no
57,retired,married,tertiary,no,3366,yes,no,unknown,31,aug,15,2,4,0,unknown,no
31,blue-collar,married,secondary,no,650,no,no,telephone,15,may,1,3,-1,0,unknown,no
44,unemployed,single,tertiary,no,11804,yes,yes,cellular,14,apr,416,1,-1,0,unknown,no
28,admin.,married,primary,no,-1050,yes,no,unknown,15,jun,479,5,-1,0,unknown,no
59,entrepreneur,married,primary,no,-714,yes,no,cellular,15,jan,51,2,-1,0,unknown,no
34,self-employed,married,secondary,no,419,no,no,cellular,14,nov,1,2,6,1,unknown,no
23,management,divorced,secondary,no,377,yes,no,cellular,27,may,290,1,0,0,unknown,no
59,admin.,married,secondary,no,50,no,yes,cellular,19,jun,1,5,-1,0,failure,no
21,retired,divorced,secondary,no,-239,yes,no,cellular,1,feb,1,4,-1,0,unknown,no
27,management,married,tertiary,no,-1050,yes,no,unknown,5,jan,180,2,-1,0,unknown,no
49,technician,married,tertiary,no,3193,yes,yes,cellular,8,aug,138,3,-1,5,unknown,no
49,unemployed,single,secondary,no,325,yes,no,cellular,17,apr,116,2,0,0,unknown,no
54,services,married,primary,no,19728,yes,no,unknown,24,jun,1,5,0,0,unknown,no
39,management,married,tertiary,no,-450,no,no,unknown,14,aug,1,1,-1,0,failure,yes
18,technician,divorced,tertiary,no,575,yes,no,cellular,24,jun,1,1,-1,0,unknown,no
47,services,single,tertiary,no,-88,yes,no,cellular,21,feb,1,2,-1,0,failure,no
35,blue-collar,married,tertiary,no,-541,no,no,telephone,16,sep,105,3,-1,0,other,no
52,management,single,tertiary,no,4467,yes,no,telephone,3,may,1,2,-1,1,unknown,no
26,blue-collar,married,tertiary,no,-340,yes,no,cellular,26,nov,280,4,-1,0,unknown,no
32,admin.,married,primary,no,1687,yes,no,cellular,5,nov,1,3,-1,0,unknown,no
28,management,married,primary,no,2193,no,no,cellular,7,aug,1,2,-1,0,unknown,yes
51,management,married,tertiary,no,-638,yes,yes,cellular,6,jan,1,1,-1,0,unknown,no
53,admin.,married,secondary,no,721,yes,no,unknown,5,feb,1,2,-1,0,unknown,no
33,services,single,primary,no,4398,no,no,unknown,3,may,435,2,-1,0,unknown,no
19,management,divorced,secondary,no,-313,no,no,cellular,9,jun,82,1,193,2,unknown,no
37,blue-collar,married,tertiary,no,-467,no,no,cellular,13,aug,1240,3,-1,0,unknown,no
55,blue-collar,married,secondary,no,9859,no,no,cellular,4,feb,1,2,-1,0,unknown,no
41,blue-collar,married,tertiary,no,-754,yes,no,telephone,1,apr,1,1,-1,0,failure,no
45,management,married,secondary,no,6649,no,no,cellular,8,jun,494,1,6,0,unknown,yes
44,blue-collar,married,tertiary,no,8674,no,no,telephone,17,jul,542,4,-1,0,unknown,no
51,blue-collar,married,secondary,no,1269,yes,no,unknown,12,may,30,3,-1,1,unknown,no
54,management,married,primary,no,191,no,no,cellular,25,jul,140,1,5,3,unknown,no
39,admin.,single,tertiary,no,-60,yes,no,unknown,7,may,79,1,-1,0,unknown,no
